"","Lake","Experiment","Exp_day","Enclosure","Treatment","Replicate","initial_zoop_body_size"
"493","Erssjoen","Summer",1,13,"F","4",0.506252160540689
"494","Erssjoen","Summer",1,14,"S","4",0.510008827632448
"495","Erssjoen","Summer",1,15,"FS","4",0.576967299130308
"496","Erssjoen","Summer",1,16,"C","4",0.469361228135959
"577","Feresjoen","Spring",1,1,"C","1",0.433815133440822
"578","Feresjoen","Spring",1,2,"F","1",0.404867255601616
"579","Feresjoen","Spring",1,3,"S","1",0.422626857388453
"580","Feresjoen","Spring",1,4,"FS","1",0.444315874618903
"581","Feresjoen","Spring",1,5,"S","2",0.389381828508253
"582","Feresjoen","Spring",1,6,"FS","2",0.471129624530791
"583","Feresjoen","Spring",1,7,"C","2",0.378396083083488
"584","Feresjoen","Spring",1,8,"F","2",0.480719487547665
"585","Feresjoen","Spring",1,9,"FS","3",0.375500131145983
"586","Feresjoen","Spring",1,10,"C","3",0.592654169820226
"587","Feresjoen","Spring",1,11,"F","3",0.357613621573778
"588","Feresjoen","Spring",1,12,"S","3",0.440655082100867
"589","Feresjoen","Spring",1,13,"F","4",0.823279393363203
"590","Feresjoen","Spring",1,14,"S","4",0.442786622343717
"591","Feresjoen","Spring",1,15,"FS","4",0.444887901267263
"592","Feresjoen","Spring",1,16,"C","4",0.504167852785011
"673","Feresjoen","Summer",1,1,"C","1",0.517824997548444
"674","Feresjoen","Summer",1,2,"F","1",1.0009493336075
"675","Feresjoen","Summer",1,3,"S","1",0.562162518004759
"676","Feresjoen","Summer",1,4,"FS","1",0.465801653465362
"677","Feresjoen","Summer",1,5,"S","2",0.609112256607068
"678","Feresjoen","Summer",1,6,"FS","2",0.579602030733174
"679","Feresjoen","Summer",1,7,"C","2",0.79789376740647
"680","Feresjoen","Summer",1,8,"F","2",0.583753218681369
"681","Feresjoen","Summer",1,9,"FS","3",0.469182764701774
"682","Feresjoen","Summer",1,10,"C","3",0.641310153665224
"683","Feresjoen","Summer",1,11,"F","3",0.563113537008447
"684","Feresjoen","Summer",1,12,"S","3",0.502516655794852
"685","Feresjoen","Summer",1,13,"F","4",0.611193499656524
"686","Feresjoen","Summer",1,14,"S","4",0.491005651884541
"687","Feresjoen","Summer",1,15,"FS","4",0.456218600884749
"688","Feresjoen","Summer",1,16,"C","4",0.457918205874349
"769","Stortjaern","Spring",1,1,"C","1",0.430060922969961
"770","Stortjaern","Spring",1,2,"F","1",1.01580068047505
"771","Stortjaern","Spring",1,3,"S","1",0.342953950597092
"772","Stortjaern","Spring",1,4,"FS","1",0.152
"773","Stortjaern","Spring",1,5,"S","2",0.47084182348797
"774","Stortjaern","Spring",1,6,"FS","2",0.188672321637741
"775","Stortjaern","Spring",1,7,"C","2",1.01687096599185
"776","Stortjaern","Spring",1,8,"F","2",1.01698160364141
"777","Stortjaern","Spring",1,9,"FS","3",0.806425140495225
"778","Stortjaern","Spring",1,10,"C","3",0.899007245118049
"779","Stortjaern","Spring",1,11,"F","3",0.941268021379289
"780","Stortjaern","Spring",1,12,"S","3",0.558882055734779
"781","Stortjaern","Spring",1,13,"F","4",0.467271909275116
"782","Stortjaern","Spring",1,14,"S","4",0.174578989296263
"783","Stortjaern","Spring",1,15,"FS","4",0.331704504355068
"784","Stortjaern","Spring",1,16,"C","4",0.955219055768839
"865","Stortjaern","Summer",1,1,"C","1",0.640761045977815
"866","Stortjaern","Summer",1,2,"F","1",0.47745731569728
"867","Stortjaern","Summer",1,3,"S","1",0.413100799495707
"868","Stortjaern","Summer",1,4,"FS","1",0.464884911265623
"869","Stortjaern","Summer",1,5,"S","2",0.481657477580402
"870","Stortjaern","Summer",1,6,"FS","2",0.469281722057319
"871","Stortjaern","Summer",1,7,"C","2",0.406189010334831
"872","Stortjaern","Summer",1,8,"F","2",0.463376806692064
"873","Stortjaern","Summer",1,9,"FS","3",0.536073269983089
"874","Stortjaern","Summer",1,10,"C","3",0.699100408421379
"875","Stortjaern","Summer",1,11,"F","3",0.571528249382213
"876","Stortjaern","Summer",1,12,"S","3",0.666168581794156
"877","Stortjaern","Summer",1,13,"F","4",0.439308294503176
"878","Stortjaern","Summer",1,14,"S","4",0.469413865569593
"879","Stortjaern","Summer",1,15,"FS","4",0.447072550036313
"880","Stortjaern","Summer",1,16,"C","4",0.500734920951164
